name,x,y
poly_2,58.976,9.87
poly_2,58.958,9.858
poly_2,58.976,9.817
poly_2,58.995,9.859
poly_2,59.044,9.839
poly_2,59.032,9.827
poly_2,59.046,9.801
poly_2,59.092,9.805
poly_2,59.04,9.777
poly_2,59.073,9.74
poly_2,59.07,9.718
poly_2,59.11,9.712
poly_2,59.097,9.693
poly_2,59.055,9.705
poly_2,59.059,9.66
poly_2,59.103,9.651
poly_2,59.122,9.615
poly_2,59.133,9.629
poly_2,59.114,9.644
poly_2,59.134,9.63
poly_2,59.14,9.652
poly_2,59.146,9.656
poly_2,59.206,9.609
poly_2,59.143,9.652
poly_2,59.124,9.583
poly_2,59.117,9.591
poly_2,59.126,9.51
poly_2,59.118,9.563
poly_2,59.108,9.557
poly_2,59.082,9.628
poly_2,59.047,9.648
poly_2,59.047,9.699
poly_2,59.028,9.732
poly_2,58.987,9.752
poly_2,59.01,9.72
poly_2,58.987,9.706
poly_2,58.99,9.655
poly_2,58.973,9.703
poly_2,58.973,9.65
poly_2,58.961,9.65
poly_2,58.946,9.589
poly_2,58.939,9.621
poly_2,58.926,9.584
poly_2,58.938,9.459
poly_2,58.924,9.476
poly_2,58.926,9.511
poly_2,58.901,9.468
poly_2,58.911,9.462
poly_2,58.885,9.46
poly_2,58.908,9.423
poly_2,58.893,9.368
poly_2,58.88,9.372
poly_2,58.903,9.42
poly_2,58.88,9.422
poly_2,58.875,9.386
poly_2,58.876,9.419
poly_2,58.864,9.412
poly_2,58.863,9.357
poly_2,58.885,9.347
poly_2,58.866,9.353
poly_2,58.868,9.327
poly_2,58.89,9.303
poly_2,58.848,9.304
poly_2,58.831,9.274
poly_2,58.841,9.307
poly_2,58.826,9.313
poly_2,58.852,9.399
poly_2,58.83,9.468
poly_2,58.816,9.394
poly_2,58.809,9.407
poly_2,58.796,9.367
poly_2,58.812,9.432
poly_2,58.802,9.435
poly_2,58.788,9.384
poly_2,58.754,9.35
poly_2,58.742,9.282
poly_2,58.756,9.259
poly_2,58.742,9.238
poly_2,58.742,9.188
poly_2,58.754,9.183
poly_2,58.739,9.159
poly_2,58.753,9.112
poly_2,58.747,9.08
poly_2,58.756,9.074
poly_2,58.761,9.078
poly_2,58.757,9.066
poly_2,58.746,9.076
poly_2,58.742,9.087
poly_2,58.725,9.057
poly_2,58.724,9.126
poly_2,58.716,9.115
poly_2,58.723,9.203
poly_2,58.73,9.112
